replicate,seed,inv_epsilon,epsilon,checkpoint,filter,delta,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error
0,20760738,80.0,0.0125,1000,alf_0.7_over_log,0.1597434379930681,769,20000,0.03845,0.03587260052086774,0.04120466796252244,0.054775332933423515,0.7019583075238249
0,20760738,80.0,0.0125,1000,alf_epsilon_squared,0.00015625000000000003,8767,20000,0.43835,0.43148584611787627,0.44523783192784144,0.054775332933423515,8.002689833629875
0,20760738,80.0,0.0125,1000,alf_delta_zero,0.0,10004,20000,0.5002,0.49327110841594995,0.5071288147696276,0.054775332933423515,9.131847735329446
0,20760738,80.0,0.0125,1000,alf_delta_one,1.0,2065,20000,0.10325,0.09910880777849468,0.10754357283202431,0.054775332933423515,1.8849725683182035
0,20760738,80.0,0.0125,1000,lof_bayes_optimal,,564,20000,0.0282,0.025994756174318685,0.03058644904822163,0.054775332933423515,0.5148302801605166
0,20860741,90.0,0.011111111111111112,900,alf_sqrt_epsilon,0.10540925533894598,1113,20000,0.05565,0.05255738107141311,0.05891328137164707,0.04999788522589184,1.1130470768627863
0,20860741,90.0,0.011111111111111112,900,alf_0.7_over_log,0.15556213513106726,770,20000,0.0385,0.03592092955936621,0.041256319720418363,0.04999788522589184,0.7700325688987829
0,20860741,90.0,0.011111111111111112,900,alf_epsilon_squared,0.0001234567901234568,8685,20000,0.43425,0.4273939300184981,0.4411313227228797,0.04999788522589184,8.68536735179991
0,20860741,90.0,0.011111111111111112,900,alf_delta_zero,0.0,10025,20000,0.50125,0.49432092787243276,0.5081785920374269,0.04999788522589184,10.025424030143245
0,20860741,90.0,0.011111111111111112,900,alf_delta_one,1.0,1978,20000,0.0989,0.09483939905871862,0.10311465226548851,0.04999788522589184,1.9780836640023283
0,20860741,90.0,0.011111111111111112,900,lof_bayes_optimal,,563,20000,0.02815,0.02594673953551769,0.030534484890628245,0.04999788522589184,0.5630238133636556
0,20860741,90.0,0.011111111111111112,950,alf_sqrt_epsilon,0.10540925533894598,1134,20000,0.0567,0.05357914820026639,0.05999111096707597,0.04999788522589184,1.1340479651054804
0,20860741,90.0,0.011111111111111112,950,alf_0.7_over_log,0.15556213513106726,775,20000,0.03875,0.036162592913981356,0.04151456034777516,0.04999788522589184,0.7750327803851387
0,20860741,90.0,0.011111111111111112,950,alf_epsilon_squared,0.0001234567901234568,8706,20000,0.4353,0.42844181426606337,0.4421830351995966,0.04999788522589184,8.706368240042604
0,20860741,90.0,0.011111111111111112,950,alf_delta_zero,0.0,10096,20000,0.5048,0.49787054372351014,0.5117276127303513,0.04999788522589184,10.096427033249498
0,20860741,90.0,0.011111111111111112,950,alf_delta_one,1.0,2037,20000,0.10185,0.09773448501799037,0.10611843329348572,0.04999788522589184,2.037086159541326
0,20860741,90.0,0.011111111111111112,950,lof_bayes_optimal,,531,20000,0.02655,0.02441124304946226,0.028870595892063207,0.04999788522589184,0.531022459850979
0,20860741,90.0,0.011111111111111112,1000,alf_sqrt_epsilon,0.10540925533894598,1086,20000,0.0543,0.051244146982888684,0.057527033957522976,0.04999788522589184,1.0860459348364653
0,20860741,90.0,0.011111111111111112,1000,alf_0.7_over_log,0.15556213513106726,753,20000,0.03765,0.035099502859792825,0.04037807288128713,0.04999788522589184,0.7530318498451736
0,20860741,90.0,0.011111111111111112,1000,alf_epsilon_squared,0.0001234567901234568,8829,20000,0.44145,0.43458005041608344,0.4483424370060864,0.04999788522589184,8.829373442606954
0,20860741,90.0,0.011111111111111112,1000,alf_delta_zero,0.0,10078,20000,0.5039,0.4969706080667992,0.5108278940519632,0.04999788522589184,10.078426271898616
