seed,inv_epsilon,epsilon,checkpoint,filter,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error,action_0_count,action_1_count,action_2_count,action_3_count
2026072303,110.0,0.00909090909090909,900,action_conditioned_lof_bayes,1122,20000,0.0561,0.05299524298270851,0.05937524662790117,0.042731639689021966,1.3128445434873506,4496205,4503891,4500257,4499647
2026072303,110.0,0.00909090909090909,950,time_varying_alf_sqrt_epsilon,1307,20000,0.06535,0.06200762408678999,0.06885931285678178,0.042731639689021966,1.529311781049882,4746088,4754343,4750368,4749201
2026072303,110.0,0.00909090909090909,950,invalid_alf_epsilon_squared,14576,20000,0.7288,0.7225950586149072,0.7349170656858193,0.042731639689021966,17.055278133575424,4746088,4754343,4750368,4749201
2026072303,110.0,0.00909090909090909,950,wrong_action_control,16442,20000,0.8221,0.8167382013601543,0.8273380890125033,0.042731639689021966,19.238672000016955,4746088,4754343,4750368,4749201
2026072303,110.0,0.00909090909090909,950,action_conditioned_lof_bayes,1064,20000,0.0532,0.050174504232808705,0.05639709918692639,0.042731639689021966,1.2449791392785572,4746088,4754343,4750368,4749201
2026072303,110.0,0.00909090909090909,1000,time_varying_alf_sqrt_epsilon,1381,20000,0.06905,0.06561831212738652,0.07264720374937007,0.042731639689021966,1.6158986760748941,4996030,5004521,5000225,4999224
2026072303,110.0,0.00909090909090909,1000,invalid_alf_epsilon_squared,14695,20000,0.73475,0.7285870434901444,0.7408227955815144,0.042731639689021966,17.194519221521052,4996030,5004521,5000225,4999224
2026072303,110.0,0.00909090909090909,1000,wrong_action_control,16430,20000,0.8215,0.8161313265508956,0.826745194265029,0.042731639689021966,19.224630881904787,4996030,5004521,5000225,4999224
2026072303,110.0,0.00909090909090909,1000,action_conditioned_lof_bayes,1142,20000,0.0571,0.05396847438539938,0.06040163115309809,0.042731639689021966,1.3362464070076243,4996030,5004521,5000225,4999224
2026072303,120.0,0.008333333333333333,900,time_varying_alf_sqrt_epsilon,1324,20000,0.0662,0.06283683745750634,0.06972977302477001,0.03989576452318371,1.6593240107362952,4499413,4502057,4499742,4498788
2026072303,120.0,0.008333333333333333,900,invalid_alf_epsilon_squared,14550,20000,0.7275,0.7212860722106034,0.7336265513838691,0.03989576452318371,18.235018395931345,4499413,4502057,4499742,4498788
2026072303,120.0,0.008333333333333333,900,wrong_action_control,16477,20000,0.82385,0.8185083805282486,0.8290672377182123,0.03989576452318371,20.65006172575675,4499413,4502057,4499742,4498788
2026072303,120.0,0.008333333333333333,900,action_conditioned_lof_bayes,1059,20000,0.05295,0.049931454870544574,0.05614024456721856,0.03989576452318371,1.3272085554152089,4499413,4502057,4499742,4498788
2026072303,120.0,0.008333333333333333,950,time_varying_alf_sqrt_epsilon,1230,20000,0.0615,0.05825389550803938,0.06491452011316437,0.03989576452318371,1.541517019037495,4749129,4752120,4749677,4749074
2026072303,120.0,0.008333333333333333,950,invalid_alf_epsilon_squared,14530,20000,0.7265,0.7202792047322789,0.7326338029343057,0.03989576452318371,18.20995307854862,4749129,4752120,4749677,4749074
2026072303,120.0,0.008333333333333333,950,wrong_action_control,16487,20000,0.82435,0.8190141811430504,0.8295612450673545,0.03989576452318371,20.662594384448113,4749129,4752120,4749677,4749074
2026072303,120.0,0.008333333333333333,950,action_conditioned_lof_bayes,1037,20000,0.05185,0.04886226819656871,0.05500985372051786,0.03989576452318371,1.2996367062942131,4749129,4752120,4749677,4749074
2026072303,120.0,0.008333333333333333,1000,time_varying_alf_sqrt_epsilon,1199,20000,0.05995,0.05674368115157797,0.06332532978139972,0.03989576452318371,1.5026657770942735,4998488,5002488,4999537,4999487
2026072303,120.0,0.008333333333333333,1000,invalid_alf_epsilon_squared,14705,20000,0.73525,0.7290906361226133,0.7413190109129895,0.03989576452318371,18.42927460564745,4998488,5002488,4999537,4999487
2026072303,120.0,0.008333333333333333,1000,wrong_action_control,16401,20000,0.82005,0.8146648039195411,0.8253122738009463,0.03989576452318371,20.5548135197024,4998488,5002488,4999537,4999487
2026072303,120.0,0.008333333333333333,1000,action_conditioned_lof_bayes,1012,20000,0.0506,0.047647750219849766,0.05372485178737707,0.03989576452318371,1.2683050595658087,4998488,5002488,4999537,4999487
2026072303,130.0,0.007692307692307693,900,time_varying_alf_sqrt_epsilon,1181,20000,0.05905,0.05586706624681809,0.06240229035106058,0.03744257269581217,1.5770818015025059,4501736,4499457,4497808,4500999
2026072303,130.0,0.007692307692307693,900,invalid_alf_epsilon_squared,14168,20000,0.7084,0.7020615368470086,0.714658422524807,0.03744257269581217,18.919640104731165,4501736,4499457,4497808,4500999
